2010;external;Basil Becker;
2010;external;Andrew Begel;
2010;external;Shoham Ben-David;
2010;external;Emery Berger;
2010;external;Nicolas Bettenburg;
2010;external;Nicolas Bettenburg;
2010;external;Domenico Bianculli;
2010;external;Christian Bird;
2010;external;Rastislav Bodik;
2010;external;Eric Bouwers;
2010;external;Martin Bravenboer;
2010;external;Guido de Caso;
2010;external;Marcelo Cataldo;
2010;external;Chunqing Chen;
2010;external;James Clause;
2010;external;Domenico Corapi;
2010;external;Ricardo Corin;
2010;external;Vittorio Cortellessa;
2010;external;Christoph Csallner;
2010;external;Marco D'Ambros;
2010;external;Nicolas D'Ippolito;
2010;external;Barry Demchak;
2010;external;Serge Demeyer;
2010;external;Jyotirmoy Deshmukh;
2010;external;Deepak Dhungana;
2010;external;Mauro Luigi Drago;
2010;external;Sebastian Elbaum;
2010;external;Sean Falconer;
2010;external;Emilia Farcas;
2010;external;Yuzheng Feng;
2010;external;Beat Fluri;
2010;external;King Chun (Derek) Foo;
2010;external;Marcelo Frias;
2010;external;Marco Funaro;
2010;external;Mark Gabel;
2010;external;Gregor Gabrysiak;
2010;external;Lars Grammel;
2010;external;Sam Guinea;
2010;external;Arie Gurfinkel;
2010;external;Juan Pablo Galeotti;
2010;external;Diego Garbervetsky;
2010;external;Giacomo Ghezzi;
2010;external;Emanuel Giger;
2010;external;Rodolfo Gomez;
2010;external;Charles Haley;
2010;external;William Halfond;
2010;external;David J. Hamilton;
2010;external;Christian Hammer;
2010;external;Lile Hattori;
2010;external;Regina Hebig;
2010;external;Matthias Hert;
2010;external;Stephan Hildebrandt;
2010;external;Shan Shan Huang;
2010;external;To-Ju Huang;
2010;external;Walid M. Ibrahim;
2010;external;Lingxiao Jiang;
2010;external;Zhen Ming Jiang;
2010;external;Zhen Ming Jiang;
2010;external;Domenico Bianculli;
2010;external;Hans Johnston;
2010;external;Cory Kapser;
2010;external;Nicolas Kicillof;
2010;external;Sung Kim;
2010;external;Christopher Kruegel;
2010;external;Taeho Kwon;
2010;external;Albert Lai;
2010;external;Zhifeng Lai;
2010;external;Akash Lal;
